checkin_dates,checkout_dates,h_address1,h_address2,h_amenities1,h_amenities2,h_amenities3,h_amenities4,h_amenities5,h_amenities6,h_amenities7,h_name,h_phone,h_ranking,h_rating_avg,h_rating_excellent,h_rating_poor,h_rating_terrible,h_rating_vgood,h_review1,h_review2,h_review3,h_review4,h_review5,h_reviewnums,h_starrating,h_tripadvisor_rating,tripadvisor_price,expedia_price,orbitz_price
16-Apr,17-Apr,4331 Kauai Beach Drive,"Lihue, Kauai, HI 96766-8109",Wifi,Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Beach Resort,+1 866-505-9384,#4,14%,42%,3%,2%,39%,This was our first stay at the Aqua Blue Kauai Beach Resort and we were very impressed.  I had read a few different reviews on this website with people griping about one thing or another and I really feel these people need to get grip...,We loved staying at the Kauai Beach Resort. We had an ocean front room and had a great view. The grounds are beautiful and the Tuesday evening show by the pool was really great. Our room was spacious but was pretty run down. The chair...,Several of us stayed here from a tour bus.  No swim beach.  Outdated everything.  Expensive.  Very little help so the workers worked hard to stay ahead.  The elevator did not work so we had to use a service elevator where you walked thru loads of...,"The resort is quite beautiful and well situated on the island. It's about halfway between Kapa'a and Lihue and less than 1 hour away from Princeville, Waimea, and everything in between. It is right on the beach, so I enjoyed walking over to the sand...","We loved this property and since returning home have discovered that several people we know have stayed here, loved it and plan to return. It's conveniently located, whether you plan to drive to Poipu Beach for the day, Hanapepe or Princeville. It was located in...","2,441 reviews", Restaurant ,4,200,299,299
16-Apr,17-Apr,4331 Kauai Beach Drive,"Lihue, Kauai, HI 96766-8109",Wifi,Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Beach Resort,+1 866-505-9384,#4,14%,42%,3%,2%,39%,"This was our base station while on Kauai Island, access to a very nice long beach, comfortable rooms, common pool area was ordinary, and seems like it needs some love.  Staff and operations were really nice, and always ready to accommodate your needs.","We stayed here for a night on our way to a resort on the North part of the island. I thought of it more as a stopover hotel -- as it's close the airport and we got in in the evening. 

When we arrived, we...",The hotel and staff were excellent. Very friendly and accommodating for us as a couple and the large 14 person family. The room was clean and well kept. Our view of the ocean was similar to other experiences where you walk onto the balcony to...,"Late review. Travelled in April.

The resort is very clean and aesthetically pleasing. We were a bit disappointed with the front desk staff. They certainly did not go over and above to meet any requests; which is completely fair and understandable at a more budget...","This review is limited to our experience renting a privately-owned unit attached to the main building of the resort (which handled registration, cleaning, etc.), and is not reflective of what others may experience booking directly.

Our experience with front-desk staff was less than stellar.  With...","2,441 reviews", Restaurant ,4,200,299,299
16-Apr,17-Apr,4331 Kauai Beach Drive,"Lihue, Kauai, HI 96766-8109",Wifi,Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Beach Resort,+1 866-505-9384,#4,14%,42%,3%,2%,39%,"We got a great deal staying at an owner unit, but I was still disappointed.  The pools are NOT HEATED making them too cold to use in winter.  One of the major reasons we chose this property was the pools, and our kids were unable...","We stayed a the Kauai Beach resort for 3 days in January. The hotel has a great restaurant and bar, good happy hour selection, nice breakfast buffet in the morning.  The room had an ocean view, kinng bed that was sooooo comfortable.  The pool area...","This hotel was spectacular.  The staff was friendly, the hotel was clean, rooms were large, and the entire area is well maintained.

The only issues I had was that the one bellman with the long grey ponytail was extremely rude.  He made it feel like...","This is a wonderful resort and all the rooms are good, they face the ocean. The staff of the resort work hard to make your stay and enjoyable one which is why it is painful to rate it as average.

Having said that for goodness...","This is our second time staying here. It is so relaxing and has everything you need if you just want to relax and chill out. It is quite far from shopping, but the beach is lovely to lay on. To swim just go down to...","2,441 reviews", Restaurant ,4,200,299,299
16-Apr,17-Apr,4330 Kauai Beach Dr,"Lihue, Kauai, HI 96766-8102",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Kauai Beach Villas,+1 844-627-3443,#6,16%,30%,6%,2%,46%,"Place advertised as a Wyndham, but nowhere near Wyndham standards. Needs a lot of updating as place is showing its age. No airport shuttle nor transit , so you will definitely need a car rental to get around. Only nice feature is the proximity to...",,"Kauai Beach Villas is only about 15 minutes from the airport and 15 minutes to shopping or entertainment.  It is quiet and the beach walking is great.  The size of the unit gives enough room in each of the rooms, including the kitchen to work...","We stayed here with friends who are time-share owners and this was one of the properties available to them.  It was a 2-bedroom, 2-bath unit however one of the bedrooms had 2 double-beds instead of a queen.  They were gracious enough to give us the...",Try to get a unit in location you will enjoy.  Look at map as most units are away from the ocean or far from pool.  We use a private ownership to get a unit in building right on beach.  Some units have not been updated....,514 reviews, Kitchenette ,4,224,249,249
16-Apr,17-Apr,4330 Kauai Beach Dr,"Lihue, Kauai, HI 96766-8102",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Kauai Beach Villas,+1 844-627-3443,#6,16%,30%,6%,2%,46%,"Beautiful setting, tropical landscape to look at and feel relaxed. Large 2 bedroom unit clean. Lanai overlooks the courtyard or called a lagoon view. Jordon, the Wyndham concierge was fabulous she was the best thing about our Kauai Wyndham stay. Always remembered our name😊","Upon arrival it seemed that the office was rather small, compared to other Wyndam Resorts. The room we checked into did not have a bathtub, was a handicap room previously I guess, anyhow when the concierge texted me to ask if all was well i...","We have vacationed in Hawaii many times and Kauai is the Island we enjoy most. It is less busy and more scenic than the other Islands with good beaches for swimming and snorkeling.
It was our first stay at Kauai Beach Villas and we very...","OK. It is almost impossible to get an ocean view unit. There are only 13 and almost all are privately owned, not time shares. Once I got over the disappointment, I settled down to enjoy all that my two bedroom unit offered:large rooms that that...","This is a delightful place to stay, especially in the winter months.  We own time share at the North end of the island in Princeville, but during the winter months even if it not raining the wind and the surf make them a poor choice...",514 reviews, Kitchenette ,4,224,249,249
16-Apr,17-Apr,4330 Kauai Beach Dr,"Lihue, Kauai, HI 96766-8102",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Kauai Beach Villas,+1 844-627-3443,#6,16%,30%,6%,2%,46%,"We stayed from November 27-December 2, 2017.  The unit was an excellent choice for us.  It has all the niceties we desired.   The one bedroom was very clean and well furnished.  The outdoor grill was an wonderful addition.  Kitchen was reasonable well stocked with essential...","Used RCI points to stay.  Very nice, spacious place.  Clean and easy to get to.  Central area.  Could easily sleep 6 adults.  Master bedroom has a king bed and ensuite bathroom.  Second bedroom has 2 double beds.  Bathroom right near.  Full kitchen, living room and...","As I have been a time share owner here for the past 15 years,  My recent trip left ALOT to be desired.  As an owner you would expect to be treated with a bit more respect then not.  We own in the D bldg. with...",We were there for two weeks and enjoyed being centrally located between Poipu and Hanalei areas. The staff was very helpful and we liked being able to checkout beach chairs and not have to find somewhere to rent them.The concierge was very helpful setting us...,"This is an older property currently managed by Wyndham.  It is conveniently located midway between Lihue and Kapaa.  The staff is very friendly and helpful and check-in was smooth.

Our condo was an end unit on the third floor with a glimpse of the ocean....",514 reviews, Kitchenette ,4,224,249,249
16-Apr,17-Apr,4330 Kauai Beach Dr,"Lihue, Kauai, HI 96766-8102",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Kauai Beach Villas,+1 844-627-3443,#6,16%,30%,6%,2%,46%,We spent two weeks in Kauai  with another couple and this was our second week rental.  when we first walked in the smell was terrible. It was very musty smelling and I could tell the carpet was holding the smell.  We immediately opened up the...,"had ocean view-resort was both beautiful and relaxing-helpful staff and great amenities
would stay here anytime 
very close to all the island has to offer
they were very helpful in setting up things for us to do and telling us about sites and thing to...","We stayed in Unit D17 October 8 to 15, 2017. The unit says it is air conditioned, but only the bedrooms had AC units, the living room was hot and had no AC other than a ceiling fan. The second bedroom had two double beds...","My husband and I had a great week on Kauai due to the staff  at Kauai Beach Villas. Upon our arrival, we were greeted with fresh orchid leis. We were in awe of our accommodations. The far surpassed our expectations. Being that we were next...","Although these villas are dated, I recommend this place for the beautiful local and aloha hospitality. Front desk could not be more curteous and accomodating; from boogie board loans to fresh citrus infused water. The pool and hot tub are small. The information morning meeting...",514 reviews, Kitchenette ,4,224,249,249
16-Apr,17-Apr,4330 Kauai Beach Dr,"Lihue, Kauai, HI 96766-8102",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Kauai Beach Villas,+1 844-627-3443,#6,16%,30%,6%,2%,46%,"This was a great location for seeing Kauai.  Don't confuse it with the Kauai Beach Resort which is next door and is on the beach.  Not sure everyone staying in the villas has the right to use the Resort pool.  However, you do have a...","We booked last minute and the place was perfect for a base for a few days. 

We weren't prepared for the 'big sell'. We were told we could use the facilities of the next door hotel (they tempted our kids with the idea of water...","We stayed here for a week in September 2017. The facilities are not new, but everything worked well enough. The weather was unusually hot during our visit so we had to use the rather noisy, old air conditioners to sleep on some nights. I know...",This was a super friendly and helpful resort.  The staff was genuinely interested in us and our experience there.  The unit was dated but our experience with the staff made up a dated unit.  There were beach chairs and boogie boards available for the guests...,"We stayed for a week here.  If you get units G or H you get an ocean view.  Can't swim there because there are rocks.  We were in the D units which was right by the pool, you have a view of the lagoon and...",514 reviews, Kitchenette ,4,224,249,249
16-Apr,17-Apr,4330 Kauai Beach Dr,"Lihue, Kauai, HI 96766-8102",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Kauai Beach Villas,+1 844-627-3443,#6,16%,30%,6%,2%,46%,"This was my second visit here  through my sister's time share. It's a great location - not too far from the airport and bridges the island, making it easy to go north or south. 

We got a 2b2b this time. AC units only in the...",Stay in a 1 bedroom condo. Was supposed to have a garden view but to our surprise our room actually had a ocean view from the deck. We were on the backside of a ocean view building but on the corner.  They had towel swans...,This is perfect for families and feels like we are staying in an apartment. Close to the airport and centrally located on the island. The only downside are the beach is not a good one for swimming (good for walking along) and you used to...,Came back after 5 years and as Wyndham owners booked an ocean front 2 bedroom. This time the air conditioning in the bedrooms worked better and the furniture was newer then last time. Being on the ocean front had  a great breeze later in the...,"We love staying here as we have a one week every other year time share.  It's clean, has plenty of space for the family and is located perfectly so we can get to a number of locations fairly quickly.  The best part is our home...",514 reviews, Kitchenette ,4,224,249,249
16-Apr,17-Apr,2430 Hulemalu Rd,"Lihue, Kauai, HI 96766-9503",Free Wifi,Free Parking,Air Conditioning,Pool,Non-Smoking Hotel,Laundry Service,Self-Serve Laundry,The Kauai Inn,+1 877-794-9810,#8,13%,37%,4%,1%,45%,"Nice place overall, BUT the WI FI is bad and sometimes was not working at all.
In today's age there is no excuse for poor WI FI.    
Have stayed here about 30 combined nights in visits in 2015, 17, & 18.
Might have been our...",We made a reservation for two days.   Called up two days in advance to cancel.   Was told we would forfeit payment for both nights since we didn't call up 5 days in advance so we'd be out approx. $450.   Did stay there one night even...,"Good hotel, room was very clean, great price. Needed a place for a few days before friends arrived so I found this place. Cheaper hotel on the island. Was a little nervous staying here but it turned out to be great. Will definitely use the...","Great Inn with clean, comfortable rooms! Stayed here for one night and it was perfect after a long travel day. Very friendly and helpful staff that made sure all of our needs were met during our stay. The continental breakfast is just fruit, toast and...","Close to the airport, a taxi ride $8. The room was clean and had a cold a/c and ceiling fan. We were on the second floor and close to the stairs but it wasn’t too noisy. The decor is dated but comfortable and most importantly...",387 reviews, Babysitting ,4,139,139,139
16-Apr,17-Apr,2430 Hulemalu Rd,"Lihue, Kauai, HI 96766-9503",Free Wifi,Free Parking,Air Conditioning,Pool,Non-Smoking Hotel,Laundry Service,Self-Serve Laundry,The Kauai Inn,+1 877-794-9810,#8,13%,37%,4%,1%,45%,"We have stayed at the Kauai Inn as our ""go-to"" spot several times this last trip, and several times in past trips in 2006 & 2005. While it is not situated on the beach or in a shopping area - you pretty much need a...","Very convenient to the airport at Lihue, we enjoyed two days and nights at the Kauai Inn, a plantation style inn at the end of the Nawiliwili Bay. 

The exceptionally clean room had a very comfortable King size bed, a good AC unit that kept...","Nice place with reasonable rates. It's out of the way so it's nice and quiet. Very nice grounds with a lush green mountain in the back. Rooms are not anything special, with or without a balcony. Staff is very friendly. They serve a breakfast of...","Said hotel is definitely a place to stay if you don't mind a place in desperate need of remodeling/upgrades. For example: 480p TV's, green carpet, small older model mini fridge, locker room style tile in the shower. 

We stayed here one night before flying back...",We got in late from the mainland and needed a one night sleepover. Super dark roads all the way from the airport but we found the place easily. Very friendly staff. The rooms are very old and quaint and open air. Small but nice and...,387 reviews, Babysitting ,4,139,139,139
16-Apr,17-Apr,2430 Hulemalu Rd,"Lihue, Kauai, HI 96766-9503",Free Wifi,Free Parking,Air Conditioning,Pool,Non-Smoking Hotel,Laundry Service,Self-Serve Laundry,The Kauai Inn,+1 877-794-9810,#8,13%,37%,4%,1%,45%,The hotel is located some 200 feet from the water in a nice residential neighborhood. I found the hotel driving down from the highway through a sugar cane field not directly from the airport by the shipping dock as I had originally planned. I had...,"Nothing fancy but would definitely stay here again.  Very quaint, quiet little place with a conteniental breakfast. We enjoyed our time here very much. Small patio out back with table and chairs. Take a flashlight and look for the frogs out back at night!",We chose this motel because it had air conditioning.  When we arrived late and exhausted it must have been 90 degrees in our room.  They hadn't bothered to turn on the air conditioner before we arrived.  We immediately turned it on only to find that...,"It is rated as a two star hotel only because it doesn't have a restaurant, a bar or any other extra services. But it has lovely rooms with a nice wooden floor, a very nice and lush gardens and a small but welcoming pool. The...","Stayed here for 3 nights. Actually drove past it the first time. it's quite a nice place, situated amongst residential properties. The pool is a nice size and the rooms comfortable. Breakfast appears to be on a first come first served basis as once things...",387 reviews, Babysitting ,4,139,139,139
16-Apr,17-Apr,2430 Hulemalu Rd,"Lihue, Kauai, HI 96766-9503",Free Wifi,Free Parking,Air Conditioning,Pool,Non-Smoking Hotel,Laundry Service,Self-Serve Laundry,The Kauai Inn,+1 877-794-9810,#8,13%,37%,4%,1%,45%,We did wonder where we were coming to as we drove past the oil terminal on our way here from the airport! However it's in a lovely location in a residential area but still only 6-7 minute drive to downtown Lihue. The grounds are mature...,Came to the Kauai inn to spend the night Adam and May were very helpful and friendly! They made sure my needs were met and Any issue that I had they took care of it quick. The room was nice clean and comfortable. I had...,"This nicely kept hotel exceeded our expectations.   In a very quiet residential/industrial part of town (walking distance to the marina),  a great beach nearby and five minutes to the airport, we found our two nights there just right at the end of our trip.","Stayed here for two nights. Nice and chill location. Pretty gardens and surrounded by mountains. Great view. The pictures don't do it justice. 
Rooms are excellent. Comfortable, clean and attractive. Cool too, I didn't need to use the a/c. 
Complimentary breakfast is basic, but good...","I have been to Kauai and this turned out to be an ideal spot to explore the island. If you don't mind passing the harbor trash on the way to the inn and lack of a real ocean view, the inn is clean, comfortable and...",387 reviews, Babysitting ,4,139,139,139
16-Apr,17-Apr,2430 Hulemalu Rd,"Lihue, Kauai, HI 96766-9503",Free Wifi,Free Parking,Air Conditioning,Pool,Non-Smoking Hotel,Laundry Service,Self-Serve Laundry,The Kauai Inn,+1 877-794-9810,#8,13%,37%,4%,1%,45%,"We really enjoyed our stay at the kauai inn! the rooms are big and the garden and the pool area is very nice. the breakfast is light, as it's says, but very good. we got fresh cut pineapples and oranges, toast, bagels and some butter...","My boyfriend and I spent a night there and we regret that it wasn't more. The hotel is close to the city center, the airport, and got a pool and a nice landscap. 
The staff there was really nice, helpfull and friendely.
We got a...","ALOHA! WE LOVE YOU KAUAI INN!!

We stayed here 2 years ago before the Hotel Impossible episode aired and we loved the place then. 
We came back to this place after staying in several of the pricier beach resorts. 
Why we love this place:
Location....","First of all we want to commend the whole staff at Kauai Inn. If we could give 5.5 star we would. Adam, Bud, Mae, Jessica, Glenda, Bryant, and others are the best with true hospitality and friendless. Lots of kindness and willing to accommodate their...","Excellent welcoming. The best we received in Kauaï.
Clean, quite.
Nice pool
Room good for vacations.
Breakfast in morning : simple but good.
Not far from restaurant, around 5 mn driving. 
Easy to reach all th coast, up to weimea.

And of course, roosters as...",387 reviews, Babysitting ,4,139,139,139
16-Apr,17-Apr,2430 Hulemalu Rd,"Lihue, Kauai, HI 96766-9503",Free Wifi,Free Parking,Air Conditioning,Pool,Non-Smoking Hotel,Laundry Service,Self-Serve Laundry,The Kauai Inn,+1 877-794-9810,#8,13%,37%,4%,1%,45%,"Enjoyed our visit here.   Comfortable beds, nice sheets.   Quiet, out of my the way place.   Nice breakfast with fresh fruit and muffins.   BBQ grill out back , pool. Friendly staff.   Recommend for quiet stay !","My husband and I stayed here for 6 days in March of 2017. The room we booked was very simple, but it had everything we needed. The breakfast was very simple, it consisted of toast, oranges and pineapple. The pool area was great and there...",Stayed here for 4 nights for our stay on Kauai. It was close to the airport and other locations we needed to visit and the price was much more reasonable than other places. It's definitely off the main road (a park and residential near by)....,"Stayed one night in a room during a business trip, looking for an inexpensive place to stay close to Lihuie and this was perfect for that. 
Pluses – Friendly staff at the front desk, and a clean but not luxurious room. Not sure if it...","The Kauai Inn is our favorite place to stay in Kauai.   It is nice and quiet, very clean, and the staff is absolutely outstanding.  We will continue to stay here whenever we visit the island of kauai. Outstanding. Love this place",387 reviews, Babysitting ,4,139,139,139
16-Apr,17-Apr,2251 Poipu Road,"Poipu, Kauai, HI 96756-9534",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Koa Kea Hotel & Resort,,#1,4%,79%,1%,1%,15%,"We just got back from celebrating our honeymoon at the Koa Kea Kauai, having got married with my family on neighbouring Maui. Despite a week of flooding/ storms (& I grew up in Hilo, so Hawaiian rain doesn't normally faze me!) the weather did not...",,My husband and I stayed at the Ko’a Kea for 4 nights in February. I cannot say enough great things about this hotel. The staff is so friendly and accommodating and they had the best recommendations for things to do around the island. The hotel...,Answer me this; when was the last time the bellman walked you to the front desk and introducted you to the desk clerk who then check you in and escorted you to your room? That happened at Koa Kea and exemplifies the service during our...,"We just ended a lovely week at Koa Kea.  The setting and location on the south shore are beautiful.  

The room was average size with a nice covered lanai at one end with a wall of windows and sliding door including a screen door, which...","2,234 reviews", Restaurant ,4.5,429,429,547
16-Apr,17-Apr,2251 Poipu Road,"Poipu, Kauai, HI 96756-9534",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Koa Kea Hotel & Resort,,#1,4%,79%,1%,1%,15%,"The location is great - walking distance to Poipu shopping mall, several restaurants, and Little Fish Coffee (fantastic coffee). The room was lovely. If you can splurge, we recommend that you book a room that faces the ocean (there are only about six of these)....","The Koa Kea is an beautiful, classy, boutique hotel that provides excellent customer service. The only exception is their breakfast menu and breakfast buffet.  I would recommend dining elsewhere for breakfast. The food is mediocre at best. Start your day right and eat elsewhere.   The...","We booked this hotel for three reasons: 1. it is a Meritage property, 2. we read on prior reviews that it was not great for families ( a real plus, since we don't enjoy other peoples' kids while we are on a much needed vacation);...","This hotel is located but a few steps from Poipu Beach. If you are looking for a hotel on this side of the island which has the closest access to the beach, this is it. To be clear, there is no “direct” access to the...",We stayed for 7 nights in Koa Kea for our honeymoon and each day got better than the last. This hotel is a MUST for couples. The resort is pretty small- less than 150 rooms which is a wonderful feel. The service was impeccable.The resort...,"2,234 reviews", Restaurant ,4.5,429,429,547
16-Apr,17-Apr,2251 Poipu Road,"Poipu, Kauai, HI 96756-9534",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Koa Kea Hotel & Resort,,#1,4%,79%,1%,1%,15%,"Koa Kea is lovely. Very well-run and comfortable. The rooms, especially the bathrooms, were nicely maintained and decorated. The bed was exceptionally comfortable. The reasons I give it four stars instead of five, however, are as follows. Despite being on the ocean, there is no...","Travel & Leisure ranked this place among the top 50 hotels in the world. My wife and I have stayed at many beautiful places but this, hands down, tops our own list. Koa Kea was perfection, from start to finish. The setting is beautiful -...","This was my wife and my third stay at the Koa Kea and we were certainly not disappointed. The staff is friendly, helpful, and efficient. The grounds are clean, the room spacious, and the pool and hot tub area very nice. We had sushi at...","Spouse and I just stayed here. We loved it! ,The valets and front desk staff and cleaning crew were all so helpful and friendly.  The valet parking  really is more efficient.  We enjoyed the lounge chairs,  gym and pool. Good hotel for people without kids,...","Let me start by saying for the last 23 years we have been staying down the street at the Grand Hyatt both with kids and without.  Last year while visiting the Grand Hyatt by ourselves, we came down to have dinner at Red Salt which...","2,234 reviews", Restaurant ,4.5,429,429,547
16-Apr,17-Apr,2251 Poipu Road,"Poipu, Kauai, HI 96756-9534",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Koa Kea Hotel & Resort,,#1,4%,79%,1%,1%,15%,We stayed at the Ko'a Kea Resort last week.  We spent a wonderful week there.  We come without our kids to rest and recharge for 2018.  My wife needs to be in the sun during the dreary winters in Seattle.  We flew direct from Seattle...,The room felt like a holiday inn and was completely overpriced for what they offered. Loud at night. After paying a high nightly fee was then charges for our breakfast at the morning buffet. Was a surprise for my partner. When we arrived we were...,"Overall the quality and service levels were unparalleled on the island. Koa Kea has all the amenities and services of a large 5 star resort, but with intimacy of a small B&B.

Well done and I would highly recommend for couples looking for a romantic...","It takes a lot for me to be moved to write a review these days, but staying at the Koa Kea did it. This resort is absolute perfection. My husband and I stayed for her for 4 nights in Jan 2018 in a Deluxe Oceanfront...","We arrived later at night and were greeted with Hawaiian hospitality and warmth. 

The property is beautiful and the rooms are comfortable. 

All of the staff we interacted with were awesome. Everyone had good tips about what to enjoy on the island. 

My favorite was...","2,234 reviews", Restaurant ,4.5,429,429,547
16-Apr,17-Apr,2251 Poipu Road,"Poipu, Kauai, HI 96756-9534",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Koa Kea Hotel & Resort,,#1,4%,79%,1%,1%,15%,"My husband and I stayed here January 2018.  I spent much time researching our options before finally deciding on the Koa Kia for our special 30th anniversary trip. Koa Kia kept coming up on multiple ""10 best"" lists as a top place to stay, even...",The amazing service for our honeymoon started the minute we pulled up to the valet - they wouldn't let us lift a finger to get out a bag. They quickly asked for names and ushered us into the lobby where we were greeted with beautiful...,"We stayed 5 nights in January, our first trip to Kauai.   The room was clean, comfortable and resupplied with towels and amenities throughout the day.   Concierge arranged for excursions for whale watching and helicopter tour of the island that exceeded expectations.   My husband took surf...","The hotel was super comfortable, not too big and the beach is right there. The pool and hot tub are great to relax in after a day of hiking and exploring. The staff was friendly. The massage was nice but nothing to write home about....","We stayed here three nights based on the very favorable reviews that we had read from others.

Koa Kea certainly is a luxury hotel, and it is a very comfortable place for adult couples. We had an oceanfront room with a small balcony, and it...","2,234 reviews", Restaurant ,4.5,429,429,547
16-Apr,17-Apr,2251 Poipu Road,"Poipu, Kauai, HI 96756-9534",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Koa Kea Hotel & Resort,,#1,4%,79%,1%,1%,15%,"We stayed 7nts for my 60th at Koa Kea and absolutely loved everything. We were extremely pleased with room 222 and the balcony with a stunning ocean view set perfectly near the lobby,pool,valet and beach. Koa Kea exudes aloha hospitality starting our day with  aloha...","Very nice upscale resort.  It is a smaller hotel, never feels very crowded but everything it well done and sophisticated.  Always open lounge chairs and room in the pool and hot tub, nice clientele who are active and here to enjoy the island.  Very helpful...","Fiance and I had a fantastic time at Koa Kea. We spent 5 nights there for our ""pre-honeymoon"" after visiting Maui for 7 nights.  This hotel was amazing. The staff is so friendly and welcoming. They remembered my fiance and I and asked how we...","While this hotel may not give off a regal feel, it is clean and well maintained. It is a rather small hotel, but that just makes it so much better for a quiet getaway. 

The staff is incredibly friendly and will go out of their...","We fell in love with this boutique hotel in January 2017 - made another trip in May 2017 and it was our friends/family hotel for our wedding in September 2017.

Staff - front desk, bell & car:
Friendly, accommodating and knowledgeable.
They went as far...","2,234 reviews", Restaurant ,4.5,429,429,547
16-Apr,17-Apr,2440 Hoonani Rd,"Poipu, Kauai, HI 96756-9639",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Sheraton Kauai Resort,(808) 742-1661,#6,16%,38%,7%,4%,35%,"Do not stay at the Sheraton Kauai while their resort-wide construction project is underway unless you book an ocean front room. Currently over one half of the rooms are under construction or renovation, including more than half of the so- called garden view rooms and...",,We paid for an oceanfront room which was totally worthwhile. The rooms are well appointed with plenty of closet space. Daily maid service was thorough and the room is very clean. There is a nice beach and pool with plenty of seats. There are a...,"I will NEVER stay at a Sheraton again and I advise you to not stay at this specific Sheraton due to very deceptive prices. 

I was not planning on attending my friends wedding that is scheduled at this resort due to financial limitations however, one...","Nice hotel.  Definitely needs updating, which they are doing now.   Lots of construction going on.   We were assigned a building across the street- so pool is under construction.  Rooms are paper thin.  The beach in front is great.   Had a burger at Lava Poipu at...","2,321 reviews", Restaurant ,4,242,269,269
16-Apr,17-Apr,2440 Hoonani Rd,"Poipu, Kauai, HI 96756-9639",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Sheraton Kauai Resort,(808) 742-1661,#6,16%,38%,7%,4%,35%,"We responded to a promotional offer at the Sheraton Poipu and had a truly wonderful stay, everything from the initial encounter at the registration desk by Lonnie Oketani to every exchange with the hotel staff and each experience with the accommodations, facility and environs.   Lonnie...","Upon arrival, I was unhappy. I realized that we had a garden view room which was located ACROSS the street!! There was a lot of construction happening and this added to the desolate feel when we walked to our room. Luckily for us, we were...","My girlfriend and I stayed at the hotel for a week in January 2018 to celebrate our anniversary. I am an SPG Platinum member and booked the stay on points.

Platinum Benefits
Upgrade -The points redemption hotel room is a garden view and the front...","The lobby was nice and open. My children enjoyed feeding the fish pieces of bread that were handed out by the valet. Pool area was beautiful and well kept. The water was warm. Beautiful beachfront. Location was amazing, close to many great beaches and Waimea...",Right on Poipu Beach on Kauai south shore. Staff was great especially housekeeping. All staff we interacted with  from valets to Servers were friendly and professional! The facility is well maintained and clean. Could use some updates to make a more modern feel. If it...,"2,321 reviews", Restaurant ,4,242,269,269
16-Apr,17-Apr,2440 Hoonani Rd,"Poipu, Kauai, HI 96756-9639",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Sheraton Kauai Resort,(808) 742-1661,#6,16%,38%,7%,4%,35%,"We booked this hotel over some other options due to the location in Poipu, and the amazing photos of the beach.  We were not disappointed.

From the moment we checked in, the experience was excellent and setting that tone right at the beginning did not...","We moved to the Sheraton from another local hotel.  On arrival the two men out the front didn’t even welcome us.  There was rather a long wait to check in with one lady doing all the work.  Our room was a garden room, bottom floor...",This hotel has a great beach and beach-side pools.  Most of the staff are friendly and helpful.  The location is good - near the airport and Lihui but not too close.  The construction was an issue.  Do ask beforehand as to where you are staying...,"The best thing about this hotel is the location. It is on a beautiful sandy beach, great for swimming and surfing.  While much of the beach is a golden sand, there are also outcroppings of coral and lava rocks which make it even more beautiful...","What a way to spend our anniversary, Beautiful ocean front room. My wife and I could not have been more pleased. Everybody at the Sheraton was very nice, our room was always clean with plenty of fresh towels, Marilyn did a great job. Thank You,...","2,321 reviews", Restaurant ,4,242,269,269
